run_label,timestamp,layer_idx,layer_name,time_s,batch_size,total_time_s,ips
S2_+GEMM_DENSE,2026-03-31T16:19:43,12,Flatten,0.0000101000,8,1.0470042229,7.6408478832
S2_+GEMM_DENSE,2026-03-31T16:19:43,13,Dense,0.0026644000,8,1.0470042229,7.6408478832
S2_+GEMM_DENSE,2026-03-31T16:19:43,14,ReLU,0.0000380001,8,1.0470042229,7.6408478832
S2_+GEMM_DENSE,2026-03-31T16:19:43,15,Dropout,0.0002941999,8,1.0470042229,7.6408478832
S2_+GEMM_DENSE,2026-03-31T16:19:43,16,Dense,0.0016625000,8,1.0470042229,7.6408478832
S2_+GEMM_DENSE,2026-03-31T16:19:43,17,Softmax,0.0003303001,8,1.0470042229,7.6408478832
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,0,Conv2D,0.0597502999,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,1,BatchNorm2D,0.0034496998,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,2,ReLU,0.0011143000,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,3,MaxPool2D,0.0152901001,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,4,Conv2D,0.0062686000,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,5,BatchNorm2D,0.0009770000,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,6,ReLU,0.0003473000,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,7,MaxPool2D,0.0070910999,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,8,Conv2D,0.0051498001,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,9,BatchNorm2D,0.0004913001,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,10,ReLU,0.0001024001,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,11,MaxPool2D,0.0019954001,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,12,Flatten,0.0000096001,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,13,Dense,0.0005510999,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,14,ReLU,0.0000326000,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,15,Dropout,0.0005477001,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,16,Dense,0.0003418000,8,0.1064212322,75.1729690857
S3_+MAXPOOL_VEC,2026-03-31T17:44:24,17,Softmax,0.0003589999,8,0.1064212322,75.1729690857
S4_+TRAIN_FLAG,2026-03-31T18:56:12,0,Conv2D,0.0290236000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,1,BatchNorm2D,0.0027235001,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,2,ReLU,0.0011297001,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,3,MaxPool2D,0.0081004000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,4,Conv2D,0.0057721001,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,5,BatchNorm2D,0.0004687000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,6,ReLU,0.0002176999,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,7,MaxPool2D,0.0044483000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,8,Conv2D,0.0046635000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,9,BatchNorm2D,0.0002499998,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,10,ReLU,0.0001188000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,11,MaxPool2D,0.0033696000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,12,Flatten,0.0000111000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,13,Dense,0.0006967001,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,14,ReLU,0.0000376999,8,0.0638692379,125.2559176071
